女の子がキッキッ嬉しそう。	おんなのこがきっきっうれしそお。
先生は、立ったままニュースを見ていました。	せんせえわ、たったままにゅうすおみていました。
私はギョッと目を見開いた。	わたしわぎょっとめおみひらいた。
友達へニューイヤーカードを送ろう。	ともだちえにゅういやあかあどおおくろお。
家政婦は休みにおしゃれなアウターウェアに身を包み一人で屋台を楽しみました。	かせえふわやすみにおしゃれなあうたあうぇあにみおつつみひとりでやたいおたのしみました。
ウォッカのお供には塩漬けのきゅうりがあいます。	うぉっかのおともにわしおずけのきゅうりがあいます。
山の向こうのミュンヒェンの人たちが攻撃をしかけた。	やまのむこおのみゅんひぇんのひとたちがこおげきおしかけた。
ボスニア国境からの攻撃により、十一月にヴァリェヴォが占領された。	ぼすにあこっきょおからのこおげきにより、じゅういちがつにヴぁりぇヴぉがせんりょおされた。
シルヴィウスはデュボアと呼ばれていたフランスのユグノーの家に生まれた。	しるヴぃうすわでゅぼあとよばれていたふらんすのゆぐのおのいえにうまれた。
そのほかに私に出来ることはなかったのです、百合枝は涙声になった。	そのほかにわたしにできることわなかったのです、ゆりえわなみだごえになった。
ガル博士百体近く。	がるはかせひゃくたいちかく。
日本政府からの百兆円を超える予算要求。	にほんせえふからのひゃくちょおえんおこえるよさんよおきゅう。
写経の美しさに私は仰天してしまった。	しゃきょおのうつくしさにわたしわぎょおてんしてしまった。
ソプラノ歌手ポリランダチョは歌劇アイーダの特別名歌手と評判です。	そぷらのかしゅぽりらんだちょわかげきあいいだのとくべつめえかしゅとひょおばんです。
貴方には最初百ポンド渡します。	あなたにわさいしょひゃくぽんどわたします。
社長からの指示です。	しゃちょおからのしじです。
どうも気まぐれというものは多少メフィスティックなものであるらしい。	どおもきまぐれとゆうものわたしょおめふぃすてぃっくなものであるらしい。
蛙がピョコピョコ飛び回っています。	かえるがぴょこぴょことびまわっています。
魔境に足を踏み入れる。	まきょおにあしおふみいれる。
ヴァンダーヴォットタイム中は、いわゆるパーティーのようで晴れやかです。	ヴぁんだあヴぉっとたいむちゅうわ、いわゆるぱあてぃいのよおではれやかです。
スピリッツとは蒸留酒の事です。	すぴりっつとわじょおりゅうしゅのことです。
ヌルシアのベネディクトゥスはアポロン神殿を壊し、ベネディクト会の修道院を建てた。	ぬるしあのべねでぃくとぅすわあぽろんしんでんおこわし、べねでぃくとかいのしゅうどおいんおたてた。
ちょうどそのとき、デストゥパーゴがコップをもって立ちあがりました。	ちょおどそのとき、ですとぅぱあごがこっぷおもってたちあがりました。
パフィーのグッズが残らず部屋に落ち着いた。	ぱふぃいのぐっずがのこらずへやにおちついた。
エピファーノフは財布を無くした。	えぴふぁあのふわさいふおなくした。
ポピュラーなソフトを使いセキュアな状態を復旧する。	ぽぴゅらあなそふとおつかいせきゅあなじょおたいおふっきゅうする。
チョコの在庫あったかな？	ちょこのざいこあったかな？
おめえ、この仕込みにゃあ、どのくれえ時間かかるか知ってっか。	おめえ、このしこみにゃあ、どのくれえじかんかかるかしってっか。
それに、このほうが体のためにゃずっといいんだからね。	それに、このほおがからだのためにゃずっといいんだからね。
夏休みに、トラアヴェミュンへ旅行した。	なつやすみに、とらあヴぇみゅんえりょこおした。
ここで一緒にウェイクフィールドの叔母を待った。	ここでいっしょにうぇいくふぃいるどのおばおまった。
八つになるウォルターと一緒に出た兄弟がいたが、ウォルターだけ発見された。	やっつになるうぉるたあといっしょにでたきょおだいがいたが、うぉるたあだけはっけんされた。
最初のジョブはウォーリアがいいと思います。	さいしょのじょぶわうぉおりあがいいとおもいます。
およそ六百メートル先を右折です。	およそろっぴゃくめえとるさきおうせつです。
新店オープンのレセプションに沢山のお客さんを招待した。	しんてんおおぷんのれせぷしょんにたくさんのおきゃくさんおしょおたいした。
脚本作者ピエール・オービュルナンの給仕クレマンが、主人の書斎の戸を大切そうに開いた。	きゃくほんさくしゃぴええるおおびゅるなんのきゅうじくれまんが、しゅじんのしょさいのとおたいせつそおにひらいた。
われわれは、天主教徒か長老教会派のもので、天主教徒が多数を占めている。	われわれわ、てんしゅきょおとかちょおろおきょおかいはのもので、てんしゅきょおとがたすうおしめている。
結局のところお互い五十歩百歩だ。	けっきょくのところおたがいごじっぽひゃっぽだ。
突拍子もない話だが、決して嘘ではない。	とっぴょおしもないはなしだが、けっしてうそでわない。
ネットで懸案の解決を目指す。	ねっとでけんあんのかいけつおめざす。
切れ味鋭いペティナイフは使い勝手が良い。	きれあじするどいぺてぃないふわつかいがってがよい。
指をくわえてぴゅーと一声口笛を吹いた。	ゆびおくわえてぴゅうとひとこえくちぶえおふいた。
クレンペ教頭は無骨な男だが、自分の学問の秘密には深く浸っていた。	くれんぺきょおとおわぶこつなおとこだが、じぶんのがくもんのひみつにわふかくひたっていた。
尻尾ふりたて、ひげくいそらす。	しっぽふりたて、ひげくいそらす。
すべての獲物を望みどおりに狙う技術がある。	すべてのえものおのぞみどおりにねらうぎじゅつがある。
タコのグニャグニャした感触が嫌だ。	たこのぐにゃぐにゃしたかんしょくがいやだ。
私たちは、抽象的意識的自己を否定することで、本当の自己とは身心一如だということを知る。	わたしたちわ、ちゅうしょおてきいしきてきじこおひてえすることで、ほんとおのじことわしんじんいちにょだとゆうことおしる。
鹿島明神が釘で刺し貫いて、魚が動かないようにしている。	かしまみょおじんがくぎでさしつらぬいて、さかながうごかないよおにしている。
私は手始めに、同業者から話を聞く努力をした。	わたしわてはじめに、どおぎょおしゃからはなしおきくどりょくおした。
とてもうれしそうにぴょんぴょん跳ねて出ていった。	とてもうれしそおにぴょんぴょんはねてでていった。
二分だけのオルガン演奏で終わってしまった。	にふんだけのおるがんえんそおでおわってしまった。
ニセ教会に騙されるな。	にせきょおかいにだまされるな。
およそ百年前には、薬剤として薬屋で売っていた。	およそひゃくねんまえにわ、やくざいとしてくすりやでうっていた。
いっそ脚本家を目指した方がいいかとも考えた。	いっそきゃくほんかおめざしたほおがいいかともかんがえた。
この書物に誤謬があっても、純一でない何ものにもインフェクトしないでしょう。	このしょもつにごびゅうがあっても、じゅんいつでないなにものにもいんふぇくとしないでしょお。
仏教はインド由来の宗教です	ぶっきょおわいんどゆらいのしゅうきょおです。
キャリーバッグは旅行に必須。	きゃりいばっぐわりょこおにひっす。
本番前はメチャメチャ不安になる。	ほんばんまえわめちゃめちゃふあんになる。
三角関数においてピュタゴラスの定理は必須です。	さんかくかんすうにおいてぴゅたごらすのてえりわひっすです。
著名なラニョン博士が患者と接していた。	ちょめえならにょんはかせがかんじゃとせっしていた。
おもちゃの刀を持った少年が、お百度石に寄りかかっている。	おもちゃのかたなおもったしょおねんが、おひゃくどいしによりかかっている。
食料の補給が急務であると伝えられた。	しょくりょおのほきゅうがきゅうむであるとつたえられた。
展示会であの作品のみ不評だった。	てんじかいであのさくひんのみふひょおだった。
客人をもてなすのは当然です。	きゃくじんおもてなすのわとおぜんです。
旅行客が楽しめるように工夫しましょう。	りょこおきゃくがたのしめるよおにくふうしましょお。
こんな冗談のようなニュースはない。	こんなじょおだんのよおなにゅうすわない。
小さい星をたくさん描いた、水飲みグラスはよくある。	ちいさいほしおたくさんえがいた、みずのみぐらすわよくある。
柄は、猫の尻尾でもあるように、尖端をぶるぶると震わせながら、動いていく。	えわ、ねこのしっぽでもあるよおに、せんたんおぶるぶるとふるわせながら、うごいていく。
開店当初プリンが一番売れていた。	かいてんとおしょぷりんがいちばんうれていた。
ロナルドホープ大尉が大将のマンションへ急行しました。	ろなるどほおぷたいいがたいしょおのまんしょんえきゅうこおしました。
日刊センティナル紙のヘプバンです。	にっかんせんてぃなるしのへぷばんです。
この宝石は、ひとつ百万円以上のお値段です。	このほおせきわ、ひとつひゃくまんえんいじょおのおねだんです。
チョウチョと仲良くなるんだから。	ちょおちょとなかよくなるんだから。
宇宙では、エントロピーは無際限に増大している。	うちゅうでわ、えんとろぴいわむさいげんにぞおだいしている。
川の中流に集落がある。	かわのちゅうりゅうにしゅうらくがある。
是非お話させて頂きたいと思います。	ぜひおはなしさせていただきたいとおもいます。
お隣さんが蒟蒻を持っていらっしゃる。	おとなりさんがこんにゃくおもっていらっしゃる。
パーティーは楽しむものです。	ぱあてぃいわたのしむものです。
おてつと大きく書かれた番茶茶碗は、これらの人々の前に置かれた。	おてつとおおきくかかれたばんちゃじゃわんわ、これらのひとびとのまえにおかれた。
私のポケットの中には携帯電話が入っています。	わたしのぽけっとのなかにわけえたいでんわがはいっています。
彼は今度は牧場へ行って、沼地で小悪魔の尻尾一つ見つけました。	かれわこんどわぼくじょおえいって、ぬまちでこあくまのしっぽひとつみつけました。
五行説による占いがあるという情報あり。	ごぎょおせつによるうらないがあるとゆうじょおほおあり。
テンプル君、既に真逆だと言った。	てんぷるくん、すでにまぎゃくだといった。
世界中の様々なモニュメントを訪ね歩いた。	せかいじゅうのさまざまなもにゅめんとおたずねあるいた。
アンソニー・ホプキンスは有名な俳優です。	あんそにいほぷきんすわゆうめえなはいゆうです。
彼女は出来るだけぴったりと耳をあてて聴きました。	かのじょわできるだけぴったりとみみおあててききました。
茶一つ参らぬか、まあいいで。	ちゃひとつまいらぬか、まあいいで。
ボヤですんでよかった。	ぼやですんでよかった。
モンタギュ・ゴーシ卿がマンチェスターに来た。	もんたぎゅごおしきょおがまんちぇすたあにきた。
ウィスキーの水割りをガッツリ飲んだ。	うぃすきいのみずわりおがっつりのんだ。
これやお祭りを若いものに見せるにゃ持ってこいだ。	これやおまつりおわかいものにみせるにゃもってこいだ。
私はイメージカラーをピンクに決めた。	わたしわいめえじからあおぴんくにきめた。
ムニャムニャ、もう食べれません。	むにゃむにゃ、もおたべれません。
満洲は雨季以外には雨が少ないと言われているが、わたしが満洲にあるあいだは、大戦中のせいか、ずいぶん雨が多かった。	まんしゅうわうきいがいにわあめがすくないといわれているが、わたしがまんしゅうにあるあいだわ、たいせんちゅうのせえか、ずいぶんあめがおおかった。
均一居酒屋では一番売れても二人で八千円くらいだ。	きんいついざかやでわいちばんうれてもふたりではっせんえんくらいだ。
願いをかなえる。	ねがいおかなえる。
最初辛かったけど、花や園芸が好きだったから、失意が癒やされないこともない。	さいしょつらかったけど、はなやえんげえがすきだったから、しついがいやされないこともない。
ペピス爺さんはもう寝るらしい。	ぺぴすじいさんわもおねるらしい。
直ぐウィルキンソンを呼びに行け。	すぐうぃるきんそんおよびにいけ。
お昼前ジャスパーさん宅へ再びお邪魔しました。	おひるまえじゃすぱあさんたくえふたたびおじゃましました。
その竜の百の頭が恐ろしい。	そのりゅうのひゃくのあたまがおそろしい。
必要なミョウバンの量はプリントに書いてあります。	ひつよおなみょおばんのりょおわぷりんとにかいてあります。
マリー・ロジェはパヴェサンタンの家を出た。	まりいろじぇわぱヴぇさんたんのいえおでた。
読み進むにつれ、ますます興味が湧いた。	よみすすむにつれ、ますますきょおみがわいた。
笑いかけながら一二歩近寄った。	わらいかけながらいちにほちかよった。
地表を緑化して、温暖化を抑止する能力を強くする。	ちひょおおりょくかして、おんだんかおよくしするのおりょくおつよくする。
ハサミでプツッと切った切れ端をペットにあげた	はさみでぷつっときったきれはしおぺっとにあげた。
ホームランを打つ。	ほおむらんおうつ。
プレゼントをギャロウェイさんに渡してください。	ぷれぜんとおぎゃろおぇいさんにわたしてください。
ケプラーの法則について直接私に聞いてきた。	けぷらあのほおそくについてちょくせつわたしにきいてきた。
ウェンディーズはハンバーガー屋さんです。	うぇんでぃいずわはんばあがあやさんです。
しかし氷河はアルプスだけにあるものではない。	しかしひょおがわあるぷすだけにあるものでわない。
この先百年も抹茶は衰退しない。	このさきひゃくねんもまっちゃわすいたいしない。
自分を評価するのは会社であって、行き過ぎた自己表現は失脚につながる。	じぶんおひょおかするのわかいしゃであって、いきすぎたじこひょおげんわしっきゃくにつながる。
夜に吹く風のヒュウヒュウという音が私を不安にさせる。	よるにふくかぜのひゅうひゅうとゆうおとがわたしおふあんにさせる。
可愛い華奢な女の子。	かわいいきゃしゃなおんなのこ。
水中の金魚をすくうためのポイ。	すいちゅうのきんぎょおすくうためのぽい。
グレンエルギンはウィスキーの蒸留所です。	ぐれんえるぎんわうぃすきいのじょおりゅうじょです。
一寸法師が、ヒョコヒョコと彼の方へ近づいた。	いっすんぼおしが、ひょこひょことかれのほおえちかずいた。
連中はリビングでぺちゃくちゃ喋って、警戒していない。	れんちゅうわりびんぐでぺちゃくちゃしゃべって、けえかいしていない。
平一郎はシャツ一枚になって絹物の布団の中へ潜りこんだ。	へえいちろおわしゃついちまいになってきぬもののふとんのなかえもぐりこんだ。
下京区に引っ越す。	しもぎょおくにひっこす。
彼の言葉に一種不思議な感覚を覚えた。	かれのことばにいっしゅふしぎなかんかくおおぼえた。
この事業所には百人以上の人が勤めています。	このじぎょおしょにわひゃくにんいじょおのひとがつとめています。
わたしの家ばかりでなく、近所の住居といわず、商店といわず、バラックの家々ではみな草花を植えている。	わたしのいえばかりでなく、きんじょのじゅうきょといわず、しょおてんといわず、ばらっくのいえいえでわみなくさばなおうえている。
どうせ私は馬の世話をせにゃならんから、外へ行こう。	どおせわたしわうまのせわおせにゃならんから、そとえいこお。
ヤン・セチャンというお笑い芸人。	やんせちゃんとゆうおわらいげえにん。
男が妙な顔をして、一瞬残忍になった。	おとこがみょおなかおおして、いっしゅんざんにんになった。
普及活動に幻滅した。	ふきゅうかつどおにげんめつした。
雨がぽつぽつ降りだした。	あめがぽつぽつふりだした。
ペリウィンクルやプランティンはブルーアイです。	ぺりうぃんくるやぷらんてぃんわぶるうあいです。
姫や侍女たちが、キンポウゲやタンポポの花を持って、彼の方へ駆け寄っていった。	ひめやじじょたちが、きんぽおげやたんぽぽのはなおもって、かれのほおえかけよっていった。
皆の協力のおかげで帰郷できた。	みんなのきょおりょくのおかげでききょおできた。
ウォルターとウォードが入室すると、ノラが真っ赤になった。	うぉるたあとうぉおどがにゅうしつすると、のらがまっかになった。
今の持ち札ではあがれずに終わる。	いまのもちふだでわあがれずにおわる。
勉強中は話しかけないで。	べんきょおちゅうわはなしかけないで。
レパードの花壇が枯れ果てた。	れぱあどのかだんがかれはてた。
蒸留酒にミョウバンを加える。	じょおりゅうしゅにみょおばんおくわえる。
取っつきにくい女中が三人いる。	とっつきにくいじょちゅうがさんにんいる。
レインボーブリッジは東京の名所。	れいんぼおぶりっじわとおきょおのめえしょ。
卑怯者は悪党です。	ひきょおものわあくとおです。
突然海へ飛び込んだ。	とつぜんうみえとびこんだ。
仕事はどっさりとあります。	しごとわどっさりとあります。
葉巻パイプはありましたか。	はまきぱいぷわありましたか。
八百屋に行って百円で大根を買った。	やおやにいってひゃくえんでだいこんおかった。
般若とは鬼女の能面の事です。	はんにゃとわきじょののおめんのことです。
日本へ行くには船か飛行機が必要です。	にほんえいくにわふねかひこおきがひつよおです。
しかしパーで回るのも難しい。	しかしぱあでまわるのもむずかしい。
のぼせないように入浴するにはお湯の量と温度が大事。	のぼせないよおににゅうよくするにわおゆのりょおとおんどがだいじ。
鬼太郎くんは冗談半分で盗みに入って怪我をした。	きたろおくんわじょおだんはんぶんでぬすみにはいってけがおした。
バーニ医師がピシッと答えた。	ばあにいしがぴしっとこたえた。
男の妙な動きが怪しい。	おとこのみょおなうごきがあやしい。
私の病気は先天性なのです。	わたしのびょおきわせんてんせえなのです。
三国志の関羽という将軍はすごく有名です。	さんごくしのかんうとゆうしょおぐんわすごくゆうめえです。
過酷な業務に耐える。	かこくなぎょおむにたえる。
町の女房らしい二人連れが、日傘を持って入ってきた。	まちのにょおぼおらしいふたりずれが、ひがさおもってはいってきた。
名をツァウォツキイといった。	なおつぁうぉつきいといった。
飲み会の参加を拒否した。	のみかいのさんかおきょひした。
夫人が仰天したのも無理はない。	ふじんがぎょおてんしたのもむりわない。
セファドールはめまいを抑える薬です。	せふぁどおるわめまいおおさえるくすりです。
明の一訓詁学者は、宋代典籍の一つにあげてある茶せんの形状を思い起こすに苦しんでいる。	みんのいちくんこがくしゃわ、そおだいてんせきのひとつにあげてあるちゃせんのけえじょおおおもいおこすにくるしんでいる。
深海魚は見た目は悪いがおいしいことが多い。	しんかいぎょわみためわわるいがおいしいことがおおい。
ニューヨークでイヴニングポストの記事に注目した。	にゅうよおくでいヴにんぐぽすとのきじにちゅうもくした。
確かに牛乳とコーンフレークの相性は抜群だ。	たしかにぎゅうにゅうとこおんふれえくのあいしょおわばつぐんだ。
その一は、明治三十七年の九月八日か九日の夜とおぼえている。	そのいちわ、めえじさんじゅうななねんのくがつよおかかここのかのよるとおぼえている。
マルメゾンの店主はジェシーとは仲良しだ。	まるめぞんのてんしゅわじぇしいとわなかよしだ。
釣竿を肩にかけた処士あり。	つりざおおかたにかけたしょしあり。
最新鋭機に乗り込む。	さいしんええきにのりこむ。
誰かが後ろへ来て、変な声で叫んだのでぞっとした。	だれかがうしろえきて、へんなこえでさけんだのでぞっとした。
おおでらの石段の前に立ち止まって、その出て来るのを待ちあわせた。	おおでらのいしだんのまえにたちどまって、そのでてくるのおまちあわせた。
未解決の懸案を持って重役と対峙する。	みかいけつのけんあんおもってじゅうやくとたいじする。
薄月の光が庭を照らす。	うすずきのひかりがにわおてらす。
犯人がどっちの部屋へ入ったかわからない。	はんにんがどっちのへやえはいったかわからない。
渓谷から出た氷河が一本に合流する。	けえこくからでたひょおががいっぽんにごおりゅうする。
ディスカッションを進める。	でぃすかっしょんおすすめる。
九頭竜明神を祭るために灯篭をながす。	くずりゅうみょおじんおまつるためにとおろおおながす。
今回の資料作りは深い思慮を必要としたが、先日やっと終了した。	こんかいのしりょおずくりわふかいしりょおひつよおとしたが、せんじつやっとしゅうりょおした。
骨子をしっかりと組み立てる。	こっしおしっかりとくみたてる。
気球にのって空を楽しむ。	ききゅうにのってそらおたのしむ。
批評ばかりでなく対案も出すべき。	ひひょおばかりでなくたいあんもだすべき。
かれらは幕のあいだに木戸の外を散歩しているのである。	かれらわまくのあいだにきどのそとおさんぽしているのである。
過去の数々の奇病が治るようになりつつある。	かこのかずかずのきびょおがなおるよおになりつつある。
購入者はポンプの修理が必要なことに気がついた。	こおにゅうしゃわぽんぷのしゅうりがひつよおなことにきがついた。
彼自身は、レジ業務につきたいと思っている。	かれじしんわ、れじぎょおむにつきたいとおもっている。
地毛は金色なんです。	じげわきんいろなんです。
鉛筆は折れやすくて不便です。	えんぴつわおれやすくてふべんです。
ヒポクラテスは医学の父と呼ばれます。	ひぽくらてすわいがくのちちとよばれます。
ところが商人は、国ざかいのすぐ近くへ住まって、やはり前と同じようにやっています。	ところがしょおにんわ、くにざかいのすぐちかくえすまって、やはりまえとおなじよおにやっています。
今まで明るかった二階の窓は、急にまっくらになってしまいました。	いままであかるかったにかいのまどわ、きゅうにまっくらになってしまいました。
アスファルトに囲まれた中にケヤキの木が一本。	あすふぁるとにかこまれたなかにけやきのきがいっぽん。
名札を用意する。	なふだおよおいする。
マッチョな男性はモテるそう。	まっちょなだんせえわもてるそお。
社務所の人の話に嘘はなかった。	しゃむしょのひとのはなしにうそわなかった。
行楽シーズンの京都は人でいっぱい。	こおらくしいずんのきょおとわひとでいっぱい。
どこからかパチパチと音が聞こえる。	どこからかぱちぱちとおとがきこえる。
プロ野球はどのチームが優勝するだろう？	ぷろやきゅうわどのちいむがゆうしょおするだろお？
しかし、これではまるで私が誘拐しましたと自首して出るようなもので、そんな馬鹿なことをするやつはあるまい。	しかし、これでわまるでわたしがゆうかいしましたとじしゅしてでるよおなもので、そんなばかなことおするやつわあるまい。
切望しつつ、主を待つ。	せつぼおしつつ、ぬしおまつ。
しばらくしてパチパチという音も止んだ。	しばらくしてぱちぱちとゆうおともやんだ。
身分をわきまえず放った狂言。	みぶんおわきまえずはなったきょおげん。
天を翔ける竜の姿は神秘的だ。	てんおかけるりゅうのすがたわしんぴてきだ。
私の精神と一脈相通じるものがあると思いました。	わたしのせえしんといちみゃくあいつうじるものがあるとおもいました。
皆も球場に行きましょう。	みんなもきゅうじょおにいきましょお。
コペルニクスはポーランドの天文学者です。	こぺるにくすわぽおらんどのてんもんがくしゃです。
海沿いの旅館は眺めがいい。	うみぞいのりょかんわながめがいい。
集中すると周りが見えない。	しゅうちゅうするとまわりがみえない。
春木座は今日の本郷座である。	はるきざわこんにちのほんごおざである。
私の手を引っ張るようにして、手のひらへくれました。	わたしのておひっぱるよおにして、てのひらえくれました。
北海の荒波は、その氷の絶壁の根を噛んで、激しく飛沫を散らしている。	ほっかいのあらなみわ、そのこおりのぜっぺきのねおかんで、はげしくしぶきおちらしている。
戦意を喪失させるのが勝利への近道。	せんいおそおしつさせるのがしょおりえのちかみち。
がちょうを飼う。	がちょおおかう。
ふぁふぁと笑いながら楽しく手拍子。	ふぁふぁとわらいながらたのしくてびょおし。
従軍記者は大尉相当の待遇を受ける。	じゅうぐんきしゃわたいいそおとおのたいぐうおうける。
茶碗にかかるほど、シャツの袖のふくらかなので、掻き抱く体に茶碗を持った。	ちゃわんにかかるほど、しゃつのそでのふくらかなので、かきいだくてえにちゃわんおもった。
色々隠して今日まで犯人と共にいる。	いろいろかくしてきょおまではんにんとともにいる。
浦子は寝ながら息を引いた。	うらこわねながらいきおひいた。
兄が邪険にされた。	あにがじゃけんにされた。
彼は不服そうに呟いた。	かれわふふくそおにつぶやいた。
摸造品ばかりでなく、本物のドイツ将校や兵卒のヘルメットを売っているのもある。	もぞおひんばかりでなく、ほんもののどいつしょおこおやへえそつのへるめっとおうっているのもある。
彼女と一緒にいると落ち着きます。	かのじょといっしょにいるとおちつきます。
困ってる人に向けて寄付をしました。	こまってるひとにむけてきふおしました。
落ち込んでいるのか、うつむいてじっとしている。	おちこんでいるのか、うつむいてじっとしている。
改良が進むとパンはどんどんおいしくなる。	かいりょおがすすむとぱんわどんどんおいしくなる。
こんなことを言いながら、気の短いおじいさんは下駄を突っかけて、そそくさと出て行ってしまった。	こんなことおいいながら、きのみじかいおじいさんわげたおつっかけて、そそくさとでていってしまった。
彼女と初デートの今日は夢うつつ。	かのじょとはつでえとのきょおわゆめうつつ。
おなじ東京の名をよぶにも、今後はおそらく旧東京と新東京とに区別されるであろう。	おなじとおきょおのなおよぶにも、こんごわおそらくきゅうとおきょおとしんとおきょおとにくべつされるであろお。
腰振りを二分間続ける。	こしふりおにふんかんつずける。
臆病者が逃げ出した。	おくびょおものがにげだした。
絵葉書と一緒に銀色のルアーをマッシュに送った。	えはがきといっしょにぎんいろのるああおまっしゅにおくった。
オムライスにはケチャップが一番。	おむらいすにわけちゃっぷがいちばん。
ストレスは適度に発散しましょう。	すとれすわてきどにはっさんしましょお。
この人よりぞ始まりける。	このひとよりぞはじまりける。
中学生の時、避暑旅行中に体調を崩した。	ちゅうがくせえのとき、ひしょりょこおちゅうにたいちょおおくずした。
軍医は病院の門に入るのである。	ぐんいわびょおいんのもんにはいるのである。
一日中明るい白夜は、一切太陽が沈まないことで起こります。	いちにちじゅうあかるいびゃくやわ、いっさいたいよおがしずまないことでおこります。
もう、あなたにばかりも精一杯、誰にも見せられます体ではないんです。	もお、あなたにばかりもせえいっぱい、だれにもみせられますからだでわないんです。
みんな揃って海に飛び込んだ。	みんなそろってうみにとびこんだ。
なんだそりゃ、到底無理なお願いだ。	なんだそりゃ、とおてえむりなおねがいだ。
腸チフスは怖い病気。	ちょおちふすわこわいびょおき。
排球はバレーボールの事です。	はいきゅうわばれえぼおるのことです。
マッチを買いに入ったのかな。	まっちおかいにはいったのかな。
盆栽は風情がある。	ぼんさいわふぜえがある。
やがて陪審員は合議をするために法廷を出て行った。	やがてばいしんいんわごおぎおするためにほおてえおでていった。
芸術の求める永遠性に疑問を感じる。	げえじゅつのもとめるえええんせえにぎもんおかんじる。
聞きつけて、件の嫗、ぶるぶるとかぶりをふった。	ききつけて、くだんのおおな、ぶるぶるとかぶりおふった。
キェルツェを通ってドビェに、ザリピェからミェイに行く。	きぇるつぇおとおってどびぇに、ざりぴぇからみぇいにいく。
マリアーンスケー・ラーズニェを訪れる。	まりああんすけえらあずにぇおおとずれる。
乳牛を見ながら、レテュの入ったピッツァを食べる。	にゅうぎゅうおみながら、れてゅのはいったぴっつぁおたべる。
ウドゥの奏者を施療した。	うどぅのそおしゃおせりょおした。
インスティテュートで、リデュースの話と併せて、ルデュックの話も聞いた。	いんすてぃてゅうとで、りでゅうすのはなしとあわせて、るでゅっくのはなしもきいた。
