えっ嘘でしょ。	えっうそでしょ。
猫はにゃーにゃーと鳴く。	ねこわにゃあにゃあとなく。
私の一番上の兄が父の名代としてその会合に出席した。	わたしのいちばんうえのあにがちちのみょおだいとしてそのかいごおにしゅっせきした。
彼は首相にインタビューした。	かれわしゅしょおにいんたびゅうした。
その会社の急速な成長は、その独特な戦略によるものだった。	そのかいしゃのきゅうそくなせえちょおわ、そのどくとくなせんりゃくによるものだった。
私はいつもミネラルウォーターを持ち歩いています。	わたしわいつもみねらるうぉおたあおもちあるいています。
彼女はハンドバッグを開けて家の鍵を探してみたが、見つからなかった。	かのじょわはんどばっぐおあけていえのかぎおさがしてみたが、みつからなかった。
彼女はスタッフをまとめていけると思いますか？	かのじょわすたっふおまとめていけるとおもいますか。
牛乳はあなたの体に良いだろう、毎日飲んだほうがいい。	ぎゅうにゅうわあなたのからだによいだろお、まいにちのんだほおがいい。
あなたは流感になりかけているか、もっと重い病気かもしれません。	あなたわりゅうかんになりかけているか、もっとおもいびょおきかもしれません。
彼女はその事件を、生き生きとした筆致で描写した。	かのじょわそのじけんお、いきいきとしたひっちでびょおしゃした。
彼は自らの生涯を、インドでの病人の治療に捧げるつもりだ。	かれわみずからのしょおがいお、いんどでのびょおにんのちりょおにささげるつもりだ。
奇妙な男で、彼は人から話し掛けられないと口をきかない。	きみょおなおとこで、かれわひとからはなしかけられないとくちおきかない。
我々はその山脈で土着のガイドを雇った。	われわれわそのさんみゃくでどちゃくのがいどおやとった。
彼女は息子に家で行儀よくするように言った。	かのじょわむすこにいえでぎょおぎよくするよおにいった。
彼はライフルを拾い上げ、それで標的をねらった。	かれわらいふるおひろいあげ、それでひょおてきおねらった。
私はこの本に八百円を払った。	わたしわこのほんにはっぴゃくえんおはらった。
気分が悪くて入院したが、結果的にはたいしたことはなかった。	きぶんがわるくてにゅういんしたが、けっかてきにわたいしたことわなかった。
アフィ狙いの釣り記事ですね。英語関係のコミュのあちこちにマルチポストしています。	あふぃねらいのつりきじですね。ええごかんけえのこみゅのあちこちにまるちぽすとしています。
トラベラーズチェックを現金に替えてくれるのはこの窓口ですか？	とらべらあずちぇっくおげんきんにかえてくれるのわこのまどぐちですか。
本日の映画は、サウンド・オブ・ミュージックでございます。	ほんじつのええがわ、さうんどおぶみゅうじっくでございます。
概してわれわれ日本人は、外国語を話すのに少し臆病すぎる。	がいしてわれわれにほんじんわ、がいこくごおはなすのにすこしおくびょおすぎる。
店の人は私のことを知るようになり、私はいつも同じウェイトレスに応対してもらっていた。	みせのひとわわたしのことおしるよおになり、わたしわいつもおなじうぇいとれすにおおたいしてもらっていた。
この丘からは何百万という星が見える。	このおかからわなんびゃくまんとゆうほしがみえる。
彼女は大学に入学したら、親から経済的に独立しようと思っていた。	かのじょわだいがくににゅうがくしたら、おやからけえざいてきにどくりつしよおとおもっていた。
サブマリンのペリスコープが、水中からにょっきり突き出ていた。	さぶまりんのぺりすこおぷが、すいちゅうからにょっきりつきでていた。
別にブルマに特別な関心があるわけじゃない。	べつにぶるまにとくべつなかんしんがあるわけじゃない。
そういうフェティシズムはないと思う。	そおゆうふぇてぃしずむわないとおもう。
ウッド夫人が作ってくれるおいしい田舎風の料理を食べたし、ミルクをたくさん飲みました。	うっどふじんがつくってくれるおいしいいなかふうのりょおりおたべたし、みるくおたくさんのみました。
私の妻が瓶をわってしまったので、台所の床は牛乳だらけになっている。	わたしのつまがびんおわってしまったので、だいどころのゆかわぎゅうにゅうだらけになっている。
喧嘩をしていた二人の子供は、お互いにしかめっ面をして座っていた。	けんかおしていたふたりのこどもわ、おたがいにしかめっつらおしてすわっていた。
事業を継続しながら、事業が依拠している不動産を、切り売りしていくことなど非現実的なのだ。	じぎょおおけえぞくしながら、じぎょおがいきょしているふどおさんお、きりうりしていくことなどひげんじつてきなのだ。
しかしペパーバーグは、そのオウムを研究することによって、動物に対する考え方が変わったと言っている。	しかしぺぱあばあぐわ、そのおおむおけんきゅうすることによって、どおぶつにたいするかんがえかたがかわったといっている。
パックマンがある条件を満たすと、追ってくるモンスターを逆襲して食べることができる。	ぱっくまんがあるじょおけんおみたすと、おってくるもんすたあおぎゃくしゅうしてたべることができる。
その数百年後に、フォークが西洋のテーブルに現れることになるが、ただちに受け入れられたわけではなかった。	そのすうひゃくねんごに、ふぉおくがせえよおのてえぶるにあらわれることになるが、ただちにうけいれられたわけでわなかった。
トップのリーダーは犬の行動学ではアルファと呼ばれ、以下ベータ、ガンマと続きます。	とっぷのりいだあわいぬのこおどおがくでわあるふぁとよばれ、いかべえた、がんまとつずきます。
ウィーンまでは歩くとどのくらいかかりますか？	うぃいんまでわあるくとどのくらいかかりますか。
すみません、この辺に詳しくないんです。	すみません、このへんにくわしくないんです。
目標は授業設計をするときの、学生の思考を触発するメディア教材の選択および、活用方法について理解することである。	もくひょおわじゅぎょおせっけえおするときの、がくせえのしこおおしょくはつするめでぃあきょおざいのせんたくおよび、かつよおほおほおについてりかいすることである。
とりあえず店の前、掃除しといてくれ。打ち水も頼む。	とりあえずみせのまえ、そおじしといてくれ。うちみずもたのむ。
人々はトーナメントが始まる何ヶ月も前に、これらの入場券を買う。	ひとびとわとおなめんとがはじまるなんかげつもまえに、これらのにゅうじょおけんおかう。
彼女の魅力は言葉では表現できない、とその芸術家は叫んだ。	かのじょのみりょくわことばでわひょおげんできない、とそのげえじゅつかわさけんだ。
事象として簡単なことを、いかにも難しそうに表現する人は、あまり頭がよさそうではない。	じしょおとしてかんたんなことお、いかにもむずかしそおにひょおげんするひとわ、あまりあたまがよさそおでわない。
デザインも、アーチ型のロゴデザインにより、現代的で登場感、躍動感あるものに仕上げました。	でざいんも、ああちがたのろごでざいんにより、げんだいてきでとおじょおかん、やくどおかんあるものにしあげました。
そんなに慌てて運転して、一体どこへ行こうってんだよ。	そんなにあわててうんてんして、いったいどこえいこおってんだよ。
時間はあるんだから、安全運転してくれよ。	じかんわあるんだから、あんぜんうんてんしてくれよ。
ディスプレイはモニタともいい、コンピュータなどの機器から出力される静止画、または動画の映像信号を表示する機器である。	でぃすぷれいわもにたともいい、こんぴゅうたなどのききからしゅつりょくされるせえしが、またわどおがのええぞおしんごおおひょおじするききである。
撃ち合いが少し静まったとき、パパが走ってフラットに行って、私たちにサンドイッチを持ってきてくれたわ。	うちあいがすこししずまったとき、ぱぱがはしってふらっとにいって、わたしたちにさんどいっちおもってきてくれたわ。
ギリシャのフットボールの試合では、一方のチームの選手は、相手チームの陣地のラインの向こう側にボールを持ち込もうとしたのです。	ぎりしゃのふっとぼおるのしあいでわ、いっぽおのちいむのせんしゅわ、あいてちいむのじんちのらいんのむこおがわにぼおるおもちこもおとしたのです。
泳者のシンディー・ニコラスは、へとへとになって泳ぎ切った後、ドーバーでかろうじて陸に上がってきたが、海峡水泳協会のスポークスマンは、彼女がとても元気であると発表した。	ええしゃのしんでぃいにこらすわ、へとへとになっておよぎきったあと、どおばあでかろおじてりくにあがってきたが、かいきょおすいええきょおかいのすぽおくすまんわ、かのじょがとてもげんきであるとはっぴょおした。
若い男女が人里離れた洋館で恐怖の一夜を過ごすという、ホラーの定番スタイルだ。	わかいだんじょがひとざとはなれたよおかんできょおふのいちやおすごすとゆう、ほらあのてえばんすたいるだ。
一つには、西洋人ではない人々が自分たち独自の文化に誇りを持ち始めてきたためと、また一つには、フォークを使わないそれらの地域は最も高い出生率の地域を抱えているという理由から、このことは当たっている。	ひとつにわ、せえよおじんでわないひとびとがじぶんたちどくじのぶんかにほこりおもちはじめてきたためと、またひとつにわ、ふぉおくおつかわないそれらのちいきわもっともたかいしゅっしょおりつのちいきおかかえているとゆうりゆうから、このことわあたっている。
私たちは恐怖の中で生きていて、苦しんでいるの。	わたしたちわきょおふのなかでいきていて、くるしんでいるの。
太陽も花も楽しめないし、私たちの子供時代も楽しめないのよ。	たいよおもはなもたのしめないし、わたしたちのこどもじだいもたのしめないのよ。
弊社のエンジニアが日本国内で販売されている同様の製品と仕様を比較した結果、非常に競合力があると判断いたしました。	へえしゃのえんじにあがにほんこくないではんばいされているどおよおのせえひんとしよおおひかくしたけっか、ひじょおにきょおごおりょくがあるとはんだんいたしました。
ノースウエスタン大学の研究者、アイリーン・ペパーバーグは、オウムは人の口まねをするだけでなく言葉の意味を学ぶことができることを発見しつつある。	のおすうえすたんだいがくのけんきゅうしゃ、あいりいんぺぱあばあぐわ、おおむわひとのくちまねおするだけでなくことばのいみおまなぶことができることおはっけんしつつある。
名前をテョといいます。	なまえおてょといいます。
ぴゅうぴゅう風が吹きこんでくる。	ぴゅうぴゅうかぜがふきこんでくる。
キェー。ギェー。イェーイ。	きぇえ。ぎぇえ。いぇえい。
ひぇーん。びぇーん。ぴぇーん。	ひぇえん。びぇえん。ぴぇえん。
プリミェー。ミェルン。ニェン。	ぷりみぇえ。みぇるん。にぇん。
ステューデント。ダブルデュアル。	すてゅうでんと。だぶるでゅある。
エテュード。エデュケーショナル。サブスティテューション。	えてゅうど。えでゅけえしょなる。さぶすてぃてゅうしょん。
ジャデャクシュ。	じゃでゃくしゅ。
ブレンドデョート。	ぶれんどでょおと。
イデュスルファーゼ。	いでゅするふぁあぜ。
あっあの。	あっあの。
いっいえ。	いっいえ。
えっえぇ。	えっえぇ。
おっおい。	おっおい。
んーとね。	んんとね。
アンツィオ。	あんつぃお。
エンツォ。	えんつぉ。
カートゥーン。	かあとぅうん。
スィーディー。	すぃいでぃい。
ズィーブラ。	ずぃいぶら。
デピュティーガバナー。	でぴゅてぃいがばなあ。
エリュシオン。	えりゅしおん。
ガリェント。	がりぇんと。
ラーテャン。	らあてゃん。
